Period,Big_Small
20250512100050044,1
20250512100050045,0
20250512100050046,1
20250512100050047,0
20250512100050048,0
20250512100050049,1
20250512100050050,1
20250512100050051,0
20250512100050052,1
20250512100050053,0
20250512100050053,0
20250512100050054,0
20250512100050055,1
20250512100050056,0
20250512100050057,1
20250512100050058,0
20250512100050059,1
20250512100050060,1
20250512100050061,1
20250512100050062,0
20250512100050073,1
20250512100050073,1
20250512100050074,0
20250512100050074,0
20250512100050075,0
20250512100050075,0
20250512100050076,0
20250512100050076,0
20250512100050077,1
20250512100050078,1
20250512100050078,1
20250512100050079,1
20250512100050079,1
20250512100050080,1
20250512100050080,1
20250512100050081,0
20250512100050081,0
20250512100050082,1
20250512100050082,1
20250512100050093,0
20250512100050093,0
20250512100050094,0
20250512100050094,0
20250512100050095,1
20250512100050095,1
20250512100050096,1
20250512100050096,1
20250512100050097,1
20250512100050098,1
20250512100050098,1
20250512100050099,0
20250512100050099,0
20250512100050100,1
20250512100050100,1
20250512100050101,1
20250512100050101,1
20250512100050102,0
20250512100050102,0
20250512100050103,1
20250512100050104,1
20250512100050105,0
20250512100050106,0
20250512100050107,0
20250512100050108,0
20250512100050109,0
20250512100050110,1
20250512100050111,0
20250512100050112,0
20250512100050113,0
20250512100050114,0
20250512100050115,1
20250512100050116,0
20250512100050117,1
20250512100050118,1
20250512100050119,1
20250512100050120,1
20250512100050121,0
20250512100050122,0
20250512100050123,1
20250512100050124,0
20250512100050125,0
20250512100050126,0
20250512100050127,1
20250512100050128,1
20250512100050129,0
20250512100050130,1
20250512100050131,0
20250512100050132,0
20250512100050133,1
20250512100050134,0
20250512100050135,0
20250512100050136,1
20250512100050137,0
20250512100050138,0
20250512100050139,0
20250512100050140,1
20250512100050141,1
20250512100050142,0
20250512100050142,0
20250512100050143,1
20250512100050144,0
20250512100050145,0
20250512100050146,1
20250512100050147,1
20250512100050148,1
20250512100050149,0
20250512100050150,0
20250512100050151,0
20250512100050152,1
20250512100050153,0
20250512100050154,0
20250512100050155,1
20250512100050156,1
20250512100050157,0
20250512100050158,1
20250512100050159,0
20250512100050160,0
20250512100050161,0
20250512100050162,0
20250512100050163,1
20250512100050164,1
20250512100050165,0
20250512100050166,0
20250512100050167,0
20250512100050168,1
20250512100050169,0
20250512100050170,0
20250512100050171,0
20250512100050182,1
20250512100050182,1
20250512100050183,0
20250512100050183,0
20250512100050184,1
20250512100050184,1
20250512100050185,1
